MLS,Status,Residential Styles,Address Number,Address Street,Zip,Map Coordinates,Community,Bedrooms Total,Baths Full,Baths Half,Estimated Square Feet,Year Built,DOMLS,List Price,Original Price,List Date Received,Sold Price,Close of Escrow Date
220003754,Pending,Manufactured Home,8545,Mission George,92071,,SANTEE,2,2,0,880,2020,8,198888,198888,02/18/2022,,
220003985,Pending,Detached,6452,50th,92120,,DELCERR337,3,2,0,1123,1956,5,750000,750000,02/22/2022,,
220004178,Pending,Townhome,8903,Ildica,91977,1291A1,SPRING VALLEY,2,1,1,968,1973,8,474900,474900,02/24/2022,,
220003658,Pending,All Other Attached,325,7th,92101,,DOWNARDOWN,2,2,0,933,2007,0,699999,699999,02/18/2022,,
NDP2201672,Pending,Manufactured Home,1930,San Marcos,92078,,,2,2,,1440,1978,0,270000,270000,02/19/2022,,
220004193,Pending,Townhome,12219,Wilsey,92064,1190B2,POWAY,3,1,1,1220,1974,4,599000,599000,02/24/2022,,
220004166,Pending,Detached,3558,Avenida Amorosa,92029,,SOUTH ESCONDIDO,4,3,0,2693,1984,9,1595000,1595000,02/24/2022,,
PTP2201287,Active,"All Other Attached, Condominium",4477,Mentone,92107,,,2,1,1,928,1968,19,595000,595000,02/25/2022,,
NDP2201565,Pending,Detached,1669,Tabletop,92024,,,5,4,,3041,2014,8,2950000,2950000,02/22/2022,,
220004168,Pending,Detached,762,Point Arguello,92058,1066G7,OCEANSIDE,4,2,0,1634,1981,1,849000,749000,03/06/2022,,
220005555,Pending,All Other Attached,8475,Avenida Angulia,91977,,SPRING VALLEY,2,2,0,862,1987,4,400000,400000,03/11/2022,,
NDP2201675,Pending,"All Other Attached, Townhome",333,Windy,92083,,,2,1,,1365,1987,3,529900,529900,02/28/2022,,
220004395,Pending,Detached,8330,Bowen,91945,1270J7,LEMON GROVE,3,2,0,1541,1993,7,789000,789000,03/02/2022,,
220003838,Pending,All Other Attached,12104,Rancho Bernardo,92128,1170B2,RANCHO BERNARDO,2,2,0,1040,1969,9,539900,539900,02/19/2022,,
PTP2201125,Active,Detached,1212,Arbor,92103,,,4,2,1,2647,1916,27,2995000,3195000,02/19/2022,,
PTP2201637,Active,Detached,714,Gretchen Rd,91910,,,3,2,,1270,1957,3,799000,799000,03/13/2022,,
220004266,Active,Detached,5918,Germaine,92037,,LA JOLLA,4,2,1,3583,1958,20,3895000,4150000,02/24/2022,,
220003996,Pending,All Other Attached,645,Front,92101,1289A3,DOWNTOWN,3,2,1,1724,2003,8,1550000,1550000,02/27/2022,,
220004367,Active,Detached,321,Colima,92037,,LA JOLLA,4,3,0,3281,1980,19,4290000,4290000,02/25/2022,,
220004062,Pending,Mobile Home,1212,H,92065,1152G7,RAMONA,2,2,0,1440,1974,0,87500,87500,02/23/2022,,
220003572,Pending,Detached,2911,Nuestra,92028,1028D6,FALLBROOK,3,3,0,3306,2008,6,1195000,1195000,02/17/2022,,
SW22033735,Pending,Detached,2575,C,92102,,,5,3,,1696,1925,6,1299999,1299999,02/24/2022,,
PTP2201218,Pending,"All Other Attached, Condominium",1365,Caminito Gabaldon,92108,,,1,1,,726,1975,10,439000,390000,02/23/2022,,
NDP2201749,Pending,"All Other Attached, Condominium",7160,Shoreline,92122,,,2,2,,848,1988,5,659000,659000,02/25/2022,,
PTP2201270,Pending,"All Other Attached, Townhome",17363,Caminito Masada,92127,,,4,2,1,1578,1973,8,799000,799000,03/02/2022,,
220004189,Pending,All Other Attached,7354,Mission Trails,92071,,SANTEE,2,2,0,990,1987,7,533000,533000,02/25/2022,,
NDP2201548,Active,Detached,18386,Via Ambiente,92067,,,4,4,2,6244,2018,23,4390000,4390000,02/21/2022,,
220004039,Pending,Detached,13809,Savage,92064,1190G3,POWAY,3,2,0,1409,1961,9,865000,865000,02/23/2022,,
220004554,Pending,Detached,9734,Saskatchewan,92129,1.19E+08,SAN DIEGO,3,2,1,2205,1984,2,1299999,1299999,03/02/2022,,
220004144,Pending,All Other Attached,7335,Alicante,92009,1127F7,LA COSTA,1,1,1,954,1975,7,489000,489000,02/24/2022,,
220003779,Sold,Detached,1579,Alta La Jolla,92037,,LA JOLLA,4,3,1,3292,1977,12,3498000,3498000,02/18/2022,3900000,03/08/2022
NDP2201490,Pending,"All Other Attached, Condominium",517,Calle Montecito,92057,,,2,2,,856,1985,4,415000,375000,02/18/2022,,
PTP2201086,Pending,"All Other Attached, Townhome",1741,Cripple Creek,91915,,,4,3,,1891,2008,13,730000,730000,02/17/2022,,
OC22031503,Pending,Detached,835,46th,92113,,,3,1,,1176,1955,15,490000,490000,02/17/2022,,
220004172,Pending,Detached,1237,Calle Fantasia,92069,,SAN MARCOS,4,3,0,1720,1995,11,885000,885000,02/24/2022,,
220003784,Pending,All Other Attached,4192,33rd,92104,,NORTH PARK,2,1,0,637,1983,5,449900,449900,02/18/2022,,
220004313,Pending,Detached,3650,Bascomb,92117,1228D7,CLAIREMONT,3,2,0,1200,1957,4,799000,799000,02/25/2022,,
NDP2201500,Pending,Detached,1712,Santa Margarita Drive,92028,,,3,2,,1950,1974,9,720000,720000,03/01/2022,,
220004324,Pending,All Other Attached,9813,Caspi Gardens,92071,,SANTEE,3,2,0,1144,1986,5,479000,479000,02/25/2022,,
220004212,Pending,Detached,534,9th,92025,1130A3,EAST ESCONDIDO,2,1,0,851,1928,6,695000,695000,03/06/2022,,
PTP2201200,Pending,"All Other Attached, Condominium",5865,Friars,92110,,,1,1,0,816,1988,5,445000,445000,02/23/2022,,
NDP2201705,Pending,Manufactured Home,221,El Camino Real,92058,,,1,1,,648,1973,11,125000,125000,02/21/2022,,
220004158,Pending,Townhome,12850,Carriage Heights,92064,,POWAY,2,2,0,1034,1995,6,649900,649900,02/24/2022,,
220004296,Pending,All Other Attached,4849,Camino Roberto,91902,1310H1,BONITA,2,1,1,1268,1975,5,565000,565000,02/25/2022,,
220003569,Pending,All Other Attached,1831,Monserrat,92081,1107H5,VISTA,4,2,1,1877,1991,16,799000,799000,02/17/2022,,
220004267,Sold,Detached,9208,Brookside,91977,,MOUNT HELIX,3,1,0,1135,1950,5,699000,699000,02/24/2022,677000,03/11/2022
PTP2201119,Pending,"All Other Attached, Detached",1797,Skyline,91945,,,5,4,,2040,1952,5,930000,785000,02/18/2022,,
220004190,Pending,All Other Attached,640,Camino De La Reina,92108,,MISSION VALLEY,2,2,0,1017,1995,4,599000,599000,02/24/2022,,
OC22046860,Active,"All Other Attached, Condominium",1199,Pacific,92101,,,1,1,1,821,2000,6,550000,550000,03/10/2022,,
PTP2201260,Pending,Detached,425,Emerson St,91911,,,3,2,,1056,1956,5,732000,649900,02/25/2022,,
220003972,Pending,Detached,4557,Toni,91942,,LA MESA,3,2,0,1746,1950,10,975000,975000,02/22/2022,,
220004307,Pending,Detached,8890,Revelstoke,92126,,MIRA MESA,3,2,0,1381,1978,6,979000,979000,02/25/2022,,
220004302,Pending,Detached,840,Ellen,92019,1252B7,UNKNOWN999,3,1,0,1064,1961,11,733000,733000,02/25/2022,,
SW22030571,Active,Detached,9,Green Turtle,92118,,,4,4,2,4144,2011,22,6500000,7225000,02/22/2022,,
220004012,Pending,Detached,17142,Glen Aspen,92127,,RANCHO BERNARDO,4,4,0,3169,2011,0,1950000,1699000,02/22/2022,,
NDP2201524,Pending,Manufactured Home,8,Biltmore Ave,92027,,,2,1,,800,1974,0,115000,115000,02/15/2022,,
NDP2201641,Pending,"All Other Attached, Townhome",3193,Evening,92037,,,2,1,1,1188,1980,7,839000,839000,02/23/2022,,
NDP2202202,Active,Detached,620,Flicker,92114,,,3,2,,1290,1953,5,679000,679000,03/11/2022,,
220004092,Pending,Detached,10263,Paseo Park,92040,1231H3,LAKESIDE,4,3,0,1541,1985,9,814990,739990,02/23/2022,,
220004118,Pending,Detached,14513,Wildgrove,92064,,POWAY,5,3,0,3623,1988,7,1898900,1898900,02/23/2022,,
SDC0000308,Pending,Detached,2012,Lincoln,92104,1269C5,NORTH PARK,3,1,0,836,1924,18,849900,949900,02/22/2022,,
220003694,Active,All Other Attached,1604,Montecito,92065,,RAMONA,3,2,0,1339,1981,26,439990,439990,02/18/2022,,
NDP2201551,Pending,"All Other Attached, Condominium",3575,Cameo Dr.,92056,,,3,2,,1141,1992,4,589000,589000,02/25/2022,,
220004111,Pending,Detached,4793,Gateshead,92010,1107B5,CARLSBAD EAST,3,2,0,1868,1987,7,1099000,1099000,02/23/2022,,
220004250,Pending,All Other Attached,17622,Fairlie,92128,,RANCHO BERNARDO,3,3,0,1772,1984,5,724900,724900,02/23/2022,,
ND22033572,Pending,Detached,151,Via Floresta,92028,,,3,2,,1982,1980,3,729000,729000,03/02/2022,,
220003936,Pending,Detached,419,Camino Bailen,92029,1149J2,SOUTHWEST ESCONDIDO,4,3,1,2817,1994,5,1500000,1295000,02/22/2022,,
220004552,Pending,Detached,8594,Clifford Heights,92071,1251A1,SANTEE,5,3,0,2395,1999,6,1098300,1098300,03/02/2022,,
220003654,Pending,Townhome,3932,1/2 Iowa,92104,,NORTH PARK,2,2,1,1135,2008,6,850000,850000,02/18/2022,,
220004244,Pending,Twinhome,11872,Cypress Canyon,92131,1209J1,SCRIPPS RANCH,3,2,1,1749,1999,7,999900,999900,02/24/2022,,
220004024,Pending,Detached,13234,Lingre,92064,,POWAY,4,2,0,1935,1973,8,1250000,999000,02/22/2022,,
220005551,Active,Detached,14419,Emerald,92067,,RANCHO SANTA FE,4,4,1,6318,2000,1,4795000,4795000,03/15/2022,,
220004146,Pending,Detached,1144,Bellingham,92057,1067B4,OCEANSIDE,4,2,1,2351,2014,5,985000,985000,02/24/2022,,
220004095,Pending,All Other Attached,4800,Williamsburg,91942,,LA MESA,2,2,0,995,1969,7,420000,420000,02/23/2022,,
220004091,Pending,All Other Attached,2400,5th,92101,,SAN DIEGO,1,1,1,948,2003,6,699000,699000,02/23/2022,,
NDP2201704,Pending,"All Other Attached, Detached",725,Teaberry,92024,,,2,1,,827,1971,11,1150000,1150000,02/25/2022,,
NDP2201667,Pending,Detached,12609,Caminito Rosita,92128,,,4,3,,2002,1985,4,1525000,1250000,02/25/2022,,
PTP2201237,Pending,Detached,790,Twining,92154,,,4,2,1,2236,1969,16,769900,769900,02/24/2022,,
PTP2201193,Pending,Detached,1373,Carneros Valley St,91913,,,4,2,1,2407,2002,8,1100000,1025000,02/23/2022,,
220003849,Pending,Detached,4989,Mills,91942,1270H2,LA MESA,2,1,0,828,1947,5,599900,599900,02/20/2022,,
PTP2201152,Pending,Detached,3727,Via Palo Verde Lago,91901,,,5,3,,3643,1980,5,1500000,1500000,02/25/2022,,
220003926,Pending,All Other Attached,530,K,92101,,DOWNTOWNDT,0,1,0,441,2005,6,449000,449000,02/21/2022,,
IG22036529,Pending,"All Other Attached, Condominium",15024,Avenida Venusto,92128,,,2,2,,1036,1988,4,519000,519000,02/24/2022,,
220003716,Active,All Other Attached,1001,Genter,92037,1247F1,LA JOLLA,2,2,0,2094,1966,18,2550000,2550000,02/18/2022,,
220004154,Pending,Detached,12128,Eastglen,92131,,SCRIPPS RANCH,4,2,1,2028,1984,5,1750000,1399000,02/24/2022,,
220004164,Pending,Detached,2416,Luther,92139,1.29E+10,PARADISE HILLS,3,2,0,1285,1976,8,699900,699900,02/24/2022,,
NDP2201879,Pending,Detached,8462,Hinterland,92127,,,4,4,1,5162,2019,5,3750000,3750000,03/02/2022,,
220004204,Pending,All Other Attached,2940,Broadway,92102,1.29E+06,SAN DIEGO,2,2,0,921,1981,6,529000,529000,02/24/2022,,
220004153,Pending,Detached,5818,Mott,92122,1228B6,UNIVERSITY CITY,6,3,0,2552,1999,6,2200000,1999000,02/24/2022,,
220004364,Pending,Detached,8492,Blackburn,92127,,SAN DIEGO,4,3,0,3461,2011,7,2200000,2200000,03/02/2022,,
220004322,Pending,Detached,10039,Woodpark,92071,,SANTEE,3,2,0,1300,1973,3,817000,756900,02/25/2022,,
PTP2201281,Pending,Detached,15572,Pinehurst Place,92131,,,5,5,1,4209,2007,6,2300000,2300000,02/25/2022,,
NDP2201645,Active,Detached,3240,Twin Oaks Valley,92069,,,4,3,2,4203,2015,19,3000000,3000000,02/25/2022,,
220003862,Sold,All Other Attached,18736,Caminito Cantilena,92128,1150A5,RANCHO BERNARDO,1,1,0,716,1993,10,439900,439900,02/20/2022,462000,03/15/2022
220003979,Pending,Detached,6764,Sunny Brae,92119,,SAN CARLOS,5,3,0,2030,1964,9,1299888,1299000,03/01/2022,,
NDP2201606,Pending,Detached,1070,Erica,92027,,,3,2,,1752,1961,5,699000,699000,02/23/2022,,
NDP2201590,Pending,Detached,10249,Rayford,92026,,,4,4,,2887,2006,8,1150000,1150000,02/22/2022,,
NDP2201720,Sold,Detached,1850,Loreto Gln,92027,,,3,2,,1237,1990,0,615000,615000,02/25/2022,615000,02/25/2022
SW22046245,Pending,Detached,2196,Coast,92078,,,4,3,1,3480,2001,2,1650000,1650000,03/12/2022,,
PTP2201128,Active,"All Other Attached, Condominium",3560,Arey,92154,,,3,2,,1071,1976,26,511500,511500,02/18/2022,,
PTP2201229,Pending,"All Other Attached, Condominium",960,Amistad,92019,,,2,1,,945,1979,6,370000,370000,02/24/2022,,
220004228,Pending,All Other Attached,3775,Georgia,92103,1269C6,HILLCREST,1,1,0,694,1990,9,465000,465000,02/24/2022,,
220003801,Pending,Detached,1324,Maryland,92083,1087F4,VISTA,3,2,0,1537,1957,7,860000,799900,02/19/2022,,
220003514,Pending,Detached,5658,Raymar,92120,,DEL CERRO,4,2,0,1400,1956,6,1100000,899000,02/17/2022,,
220003727,Active,Detached,8561,Dobyns,92071,,SAN DIEGO,4,1,0,1570,1960,26,650000,700000,02/18/2022,,
PTP2201113,Pending,"All Other Attached, Condominium",1880,Aubrives,91913,,,3,2,,1315,2006,16,560000,560000,02/18/2022,,
220003666,Pending,All Other Attached,7134,Pintail,92011,1127D6,UNKNOWN999,3,2,0,1947,1998,19,1225000,1225000,02/18/2022,,
PTP2201118,Pending,Detached,251,Flowerdale,92114,,,4,2,1,2169,1960,16,770000,739000,02/18/2022,,
220003515,Pending,Detached,3050,Chollas,92105,,EAST SAN DIEGO,3,1,0,1098,1954,10,625000,625000,02/17/2022,,
PTP2201312,Active,Detached,12261,Rockcrest Rd,92040,,,3,2,0,1456,2004,17,650000,725000,02/27/2022,,
220003956,Pending,Detached,29345,Wilkes,92082,,VALLEY CENTER,4,3,0,3208,1980,8,929000,929000,02/22/2022,,
220004225,Pending,Townhome,3103,King Arthurs,91977,1271A6,SPRING VALLEY,2,2,1,1059,1988,7,475000,475000,02/24/2022,,
PTP2201329,Pending,Detached,310,Slate,91911,,,5,2,,1611,1965,0,550000,550000,02/28/2022,,
220005361,Pending,All Other Attached,3579,Ruffin,92123,,SERRA MESA,2,1,0,788,1975,0,370000,370000,03/09/2022,,
NDP2201426,Active,Detached,35643,Garrano,92028,,,4,3,,2656,2018,15,851000,851000,03/04/2022,,
220003519,Pending,Detached,980,Georgia,91932,1329H7,IMPERIAL BEACH,2,1,0,775,1961,12,679900,679900,02/17/2022,,
220003674,Pending,All Other Attached,1321,Greenfield,92021,1251J3,EL CAJON,2,1,1,1024,2000,5,399000,399000,02/18/2022,,
PTP2201150,Pending,Detached,516,Galeon,91977,,,4,2,,1489,1976,2,649000,649000,02/22/2022,,
220004093,Pending,Manufactured Home,255,Bradley,92021,,EL CAJON,3,2,0,1040,2004,14,135000,135000,02/25/2022,,
220003659,Pending,All Other Attached,5195,68th,92115,1.27E+05,UNKNOWN999,3,2,1,1543,1988,4,620000,620000,02/18/2022,,
220004175,Pending,Detached,1227,Beryl,92109,1247J5,PACIFIC BEACH,4,2,0,2282,1943,18,1700000,1700000,02/24/2022,,
PTP2201239,Pending,Detached,1724,Redwood,92025,,,4,2,,1619,1970,5,799000,799000,02/24/2022,,
220004401,Pending,All Other Attached,2650,Broadway,92102,,SAN DIEGO,1,1,0,521,1984,7,415000,415000,03/03/2022,,
EV22036648,Pending,"All Other Attached, Townhome",329,Canoe,92071,,,3,1,1,1548,2022,6,747270,747270,02/24/2022,,
220004288,Pending,Townhome,1753,Manzana,92139,1290H6,PARADISE HILLS,3,2,0,1274,1985,15,581000,530000,02/25/2022,,
220003947,Sold,All Other Attached,2981,Ocean Front Walk B,92109,,MISSION BEACH,3,3,0,1586,1990,12,3299000,3299000,02/23/2022,4025000,03/14/2022
220004242,Pending,Detached,4511,Judson,91942,1.27E+06,LA MESA,3,1,1,2140,1941,5,999000,999000,02/24/2022,,
220004304,Pending,All Other Attached,701,Kettner,92101,,DOWNTOWN,2,2,0,1000,1985,6,719000,719000,02/25/2022,,
220003620,Pending,Detached,3829,Ruette San Raphael,92130,1208A2,CARMEL VALLEY,3,2,1,1952,2000,6,1399000,1399000,02/17/2022,,
220004377,Pending,Manufactured Home,1010,Palm Canyon,92004,,BORREGO SPRINGS,2,2,0,1536,1977,5,40000,40000,02/25/2022,,
220003535,Pending,Detached,10755,Cariuto,92124,,TIERRASANTA,3,2,0,1625,1973,7,899000,899000,02/17/2022,,
SW22036242,Active,"Stock Cooperative, Detached",4747,Oak Crest,92028,,,2,2,,1250,1971,21,335000,335000,02/23/2022,,
PTP2201383,Pending,"Townhome, Detached",1050,La Tortuga,92081,,,3,3,,1336,1989,4,600000,600000,03/03/2022,,
220003543,Pending,Detached,1154,Via Escalante,91910,,CHULA VISTA,3,2,1,2217,1998,11,949000,949000,02/17/2022,,
SW22036946,Active,"Manufactured Home, Detached",35109,Highway 79,92086,,,2,1,,784,1982,20,149980,149990,02/24/2022,,
OC22033340,Active,Detached,9452,Circle R,92026,,,5,3,1,2964,1990,20,1299000,1299000,02/24/2022,,
NDP2201695,Pending,Detached,6793,Encelia,92011,,,3,2,1,2048,2020,4,1425000,1425000,02/24/2022,,
NDP2201722,Pending,Detached,1114,Via Mil Cumbres,92075,,,4,3,,2972,1979,5,2875000,2875000,02/25/2022,,
220003599,Pending,Detached,10278,Ramona,91977,,SPRING VALLEY,3,2,0,1378,1961,4,800000,700000,02/17/2022,,
SW22032607,Active,Detached,4150,Rock Mountain,92028,,,3,2,1,4439,1998,25,2995000,2995000,02/19/2022,,
220004223,Pending,Townhome,4111,Poplar,92105,1269H7,SAN DIEGO,3,3,0,1350,1993,16,675000,585000,02/24/2022,,
NDP2201692,Pending,"All Other Attached, Condominium",6333,Mount Ada,92111,,,0,1,,363,1972,5,279900,279900,02/24/2022,,
220004177,Pending,Detached,1139,Harding,92027,1110A7,EAST ESCONDIDO,3,2,0,1300,1971,6,685000,685000,02/24/2022,,
NDP2201698,Pending,"All Other Attached, Condominium",5159,Renaissance Ave,92122,,,3,2,1,2282,1990,6,1299000,1299000,02/24/2022,,
220004241,Pending,Manufactured Home,1951,47th,92102,,SAN DIEGO,3,2,0,1325,2016,1,214000,214000,02/24/2022,,
220003553,Sold,Detached,17680,Caminito Chiclayo,92128,,RANCHO BERNARDO,2,2,0,1597,1987,4,1049000,1049000,02/17/2022,1275000,03/07/2022
220003696,Pending,Detached,5528,Carriage,92130,,CARMEL VALLEY,5,3,1,3731,2002,8,2699000,2699000,02/18/2022,,
220004100,Active,Detached,4601,Talmadge,92116,,KENSINGTON,4,2,0,1922,1929,19,1695000,1695000,02/25/2022,,
220003957,Pending,Detached,2988,Larkin,92123,1249D5,SERRA MESA,3,2,0,1200,1961,6,1049000,850000,02/25/2022,,
NDP2201528,Pending,Detached,22248,Crestline Road,92060,,,3,2,0,1504,1975,1,725000,725000,02/21/2022,,
220003566,Pending,Detached,5149,Dawne,92117,,CLAIREMONT,4,3,0,1914,1956,5,1100000,1100000,02/17/2022,,
PTP2201198,Pending,Detached,11017,Bootes St.,92126,,,4,3,,2255,1972,6,1075000,1075000,02/23/2022,,
220004147,Pending,Detached,15895,Bromegrass,92064,,POWAY,5,3,1,3390,1989,6,1795000,1795000,03/03/2022,,
220004206,Active,Detached,1672,Avenida Cherylita,92020,1271G1,EL CAJON,4,3,0,3092,2021,20,1695000,1695000,02/24/2022,,
220003607,Pending,Detached,4863,Mount Royal,92117,1248G1,CLAIREMONT,5,2,1,1946,1978,3,1200000,1200000,02/21/2022,,
220004375,Pending,Detached,6690,Monterra,92130,1188H3,CARMEL VALLEY,4,3,0,2656,2015,11,2000000,2000000,02/27/2022,,
220004014,Pending,Detached,1127,Beryl,92109,,PACIFIC BEACH,4,2,0,1538,2000,7,1995000,1995000,02/22/2022,,
220004061,Active,Detached,11357,Mayapple,92131,,SCRIPPS RANCH,5,3,0,2880,2000,15,1799000,1799000,03/01/2022,,
PTP2201132,Pending,"All Other Attached, Condominium",8018,Winter Gardens,92021,,,3,1,1,1323,1974,0,449000,449000,03/08/2022,,
IG22033891,Pending,Detached,3245,Via Caliente Del Sol,91935,,,4,3,,2812,1971,16,950000,110000,02/21/2022,,
220003882,Active,All Other Attached,700,Harbor,92101,1288J3,DOWNTOWN,3,2,0,2047,2004,17,2895000,2895000,02/27/2022,,
OC22037023,Active,"All Other Attached, Condominium",2005,Burton,92111,,,2,2,,1138,1994,20,655000,655000,02/24/2022,,
PTP2201177,Pending,Detached,2805,Weeping Willow,91915,,,3,2,,1651,2004,0,740000,740000,02/22/2022,,
NDP2201570,Active,Detached,442,Las Brisas,92027,,,4,3,,1847,1980,16,715000,715000,02/22/2022,,
220004233,Pending,Detached,13451,Starridge,92064,,POWAY,4,2,0,1453,1977,7,999000,999000,02/24/2022,,
220003899,Pending,Detached,3226,Stockman,91950,,NATIONAL CITY,4,2,0,2007,1962,10,650000,730000,02/21/2022,,
220003880,Pending,Detached,2233,Casa Alta,91977,,SPRING VALLEY,4,2,0,1620,1976,0,695000,695000,02/21/2022,,
NDP2201575,Pending,Detached,6345,Keeneland Dr,92009,,,5,5,1,6219,2006,6,3625000,3625000,02/24/2022,,
220003884,Pending,All Other Attached,591,Sierra,92075,1.19E+04,SOLANA BEACH,2,2,1,1544,1974,13,1995000,1995000,02/25/2022,,
PTP2201361,Pending,Detached,842,Concepcion Ave.,91977,,,3,2,1,980,1980,8,610000,559000,03/02/2022,,
220004135,Sold,Detached,3008,Via Conquistador,92009,1127J4,RANCHOCARC,5,3,1,3228,2002,2,1699000,1699000,02/24/2022,2100000,03/15/2022
220004511,Active,Detached,3573,Ridge,92056,,SUNSEHI530,5,3,0,2455,1980,15,1250000,1250000,02/27/2022,,
NDP2201830,Pending,Detached,825,Terrace,92026,,,4,2,1,1676,1977,10,850000,749000,03/01/2022,,
NDP2201899,Active,Detached,29955,Robbie,92084,,,4,2,1,2814,1987,5,1350000,1350000,03/11/2022,,
220004148,Pending,Detached,327,Avenida La Cuesta,92078,,SAN MARCOS,4,2,1,2585,2000,2,1150000,1150000,02/24/2022,,
220003935,Pending,All Other Attached,655,India,92101,1289A3,DOWNTOWN,3,2,1,1757,1992,7,1300000,1300000,02/22/2022,,
220003712,Active,Detached,346,Townsite,92084,1087H5,VISTAFILVF,3,2,0,1276,1962,16,719000,719000,02/18/2022,,
PTP2201328,Pending,"All Other Attached, Condominium",510,1st,92101,,,2,2,,1209,2002,0,825000,825000,02/28/2022,,
220003609,Pending,All Other Attached,2532,Escondido,92025,1130A7,SOUTH ESCONDIDO,3,3,1,1408,2018,4,689000,689000,02/17/2022,,
PTP2201210,Pending,"All Other Attached, Condominium",17003,Bernardo Center Dr,92128,,,2,2,0,1126,1970,6,599000,599000,02/23/2022,,
SW22037322,Pending,"All Other Attached, Condominium",4176,Baycliff,92056,,,2,1,1,1000,1978,4,580000,572000,02/24/2022,,
220004184,Pending,Detached,441,Avenida Adobe,92029,1149J3,SOUTHWEST ESCONDIDO,4,3,0,2928,1982,3,1650000,1650000,02/24/2022,,
220003719,Pending,All Other Attached,4444,Point Loma,92107,,OCEAN BEACH,1,1,0,725,1966,13,425000,425000,02/21/2022,,
PTP2201396,Pending,Detached,4845,Edgeview Dr.,92020,,,3,2,,2187,1962,7,1250000,1150000,03/09/2022,,
220004278,Pending,Townhome,1369,Hornblend,92109,,PACIFIC BEACH,3,2,1,1454,2011,5,1100000,1100000,02/25/2022,,
NDP2201713,Active,Detached,29573,Miller,92082,,,2,2,1,2016,1976,8,799000,799000,03/11/2022,,
220003638,Pending,Townhome,11930,Black Mountain,92129,,RANCHO PENASQUITOS,3,2,1,1510,1992,15,820000,820000,02/17/2022,,
NDP2201697,Pending,"All Other Attached, Condominium",240,Countryhaven,92024,,,3,2,1,1459,1978,6,998000,998000,02/25/2022,,
220004839,Pending,All Other Attached,445,Island,92101,1289A4,DOWNTOWN,2,2,0,1113,2006,4,850000,775000,03/03/2022,,
NDP2201599,Sold,"All Other Attached, Townhome",2510,La Costa,91915,,,2,2,,1559,1994,0,699000,699000,02/23/2022,731000,03/09/2022
220003687,Sold,All Other Attached,17181,Bernardo,92127,1169J2,RANCHO BERNARDO,3,2,0,1056,1994,4,530000,530000,02/18/2022,640000,03/15/2022
SW22032401,Pending,Detached,8115,Blossom,91977,,,3,2,,1400,1958,7,675000,675000,02/18/2022,,
220003967,Pending,Detached,988,Glendora,92057,,OCEANSIDE,3,2,0,1605,2003,9,765000,765000,02/27/2022,,
220004129,Pending,Detached,11172,Via Temprano,92124,,SAN DIEGO,4,3,0,2426,1975,2,1199000,1199000,02/23/2022,,
OC22033252,Pending,Detached,33519,Evergreen,92060,,,1,1,,468,1923,13,260000,260000,02/21/2022,,
220003966,Pending,Detached,13213,Idyl,92040,1232C5,UNKNOWN999,3,2,0,1216,1960,14,730000,730000,02/22/2022,,
SDC0000322,Pending,"Manufactured Home, Mobile Home",1600,Vista,92084,1087J3,VISTA,3,2,0,1150,1997,9,240000,240000,03/02/2022,,
220003955,Pending,Detached,3427,Erik,92025,,SOUTH ESCONDIDO,4,3,0,3734,2000,10,1799000,1799000,02/22/2022,,
220003583,Pending,Detached,3498,Grogan,92154,,CHULA VISTA,5,2,0,1626,1978,14,739000,739000,02/18/2022,,
220004041,Pending,All Other Attached,820,Stillwater Cove,92058,1066G7,OCEANSIDE,3,2,0,1299,1985,6,549000,549000,02/23/2022,,
PTP2201197,Pending,Detached,945,Arnold Way,91901,,,4,2,,1554,1954,6,850000,799000,02/25/2022,,
220004226,Pending,Detached,11857,Caminito Ryone,92128,,RANCHO BERNARDO,2,2,0,1194,1987,5,799000,799000,02/24/2022,,
220004280,Sold,All Other Attached,3644,3rd,92103,1269A6,HILLCREST,2,2,0,922,1993,10,655000,655000,02/25/2022,715000,03/10/2022
NDP2201460,Sold,Detached,701,H,92118,,,3,2,1,2226,2006,0,3200000,3200000,02/17/2022,3200000,02/16/2022
220002761,Sold,Detached,7883,New Salem,92126,1209A3,MIRA MESA,4,2,0,1558,1972,0,810000,810000,02/08/2022,810000,02/08/2022
NDP2201761,Sold,Detached,3508,Decora,92078,,,3,1,0,1095,1973,0,620000,620000,02/26/2022,560000,03/14/2022
PTP2200526,Active,Detached,373,Amigos,92065,,,3,2,,1924,1979,47,750000,750000,01/27/2022,,
NDP2200726,Sold,"All Other Attached, Condominium",817,Kalpati Circle,92008,,,2,2,,1660,2001,3,959000,959000,01/24/2022,960000,02/18/2022
PTP2201472,Pending,Detached,787,Monserate,91910,,,4,2,,1610,1960,3,799000,799000,03/10/2022,,
NDP2200938,Active,Detached,330,Skyline,92084,,,5,5,,4000,1991,17,1324999,1324999,02/12/2022,,
NDP2200325,Sold,Detached,372,Flower Hill Way,92078,,,5,4,,3419,2004,6,1449000,1295000,01/12/2022,1450000,02/22/2022
PTP2200449,Sold,Detached,1545,Olive Ave,91911,,,3,1,1,1052,1967,8,685000,685000,01/20/2022,710000,02/25/2022
NDP2200346,Sold,Detached,3250,Sage Road,92028,,,4,3,,3082,1976,25,1075000,1795000,01/12/2022,1275000,03/11/2022
