MLS,Status,Rental Residential Styles,Address Number,Address Street,Zip,Bedrooms Total,Baths Full,Baths Half,Estimated Square Feet,Levels,Year Built,Listing Type,Price Reflects,DOMLS,List Price,Original Price,List Date Received,Rented Price,Close of Escrow Date
220003946,Active,All Other Attached,550,Park,92101,1,1,0,738,1 Story,2004,Exclusive Right (R),Monthly,22,2800,2800,02/22/2022,,
PTP2200233,Active,All Other Attached,239,Ebony,91932,2,1,0,920,2 Story,1972,,,64,2800,2800,01/11/2022,,
220000856,Active,All Other Attached,245-247,Glaucus,92024,2,1,0,750,1 Story,1985,Exclusive Agency (A),Monthly,61,2800,2800,01/14/2022,,
220004696,Active,All Other Attached,1080,Park,92101,1,1,0,781,1 Story,2007,Exclusive Right (R),Monthly,14,2800,2800,03/02/2022,,
PTP2200359,Pending,All Other Attached,5875,Friars,92110,2,2,,1112,1 Story,1989,Exclusive Right To Lease,,27,2800,3000,01/15/2022,,
210032633,Rented,All Other Attached,10782,Riderwood,92071,3,2,1,1294,2 Story,1986,Exclusive Agency (A),Monthly,26,2800,2800,12/03/2021,2800,12/28/2021
220000152,Rented,All Other Attached,1025,Island,92101,2,2,0,1310,Other/Remarks,2006,Exclusive Right (R),Monthly,15,2800,2750,01/05/2022,2800,01/20/2022
220001091,Rented,All Other Attached,1651,Juniper,92025,3,2,1,1664,2 Story,2000,Exclusive Right (R),Monthly,10,2800,2800,01/18/2022,2800,01/28/2022
210032503,Rented,All Other Attached,10850,Sabre Hill,92128,2,2,0,1000,1 Story,1993,Exclusive Right (R),Monthly,16,2800,2800,12/02/2021,2800,12/20/2021
210033511,Rented,Apartment,1054,Turquoise,92109,2,1,0,800,1 Story,1956,Exclusive Right (R),Monthly,0,2800,2800,12/17/2021,2800,12/17/2021
220004775,Active,Townhome,1101,San Leon,92075,1,1,0,1000,2 Story,2010,Exclusive Agency (A),Monthly,14,2850,2850,03/02/2022,,
NDP2201216,Active,All Other Attached,16941,Meadowlark Ridge Rd,92127,2,2,,977,2 Story,2002,Open Listing (O),,34,2850,2700,02/10/2022,,
NDP2202056,Active,All Other Attached,4944,Cass St,92109,2,2,,1100,1 Story,1973,Exclusive Right To Lease,,9,2850,2850,03/07/2022,,
220002005,Rented,Townhome,5203,Caminito Cachorro,92105,3,2,1,1330,2 Story,1986,Exclusive Right (R),Monthly,33,2850,2850,01/29/2022,2850,03/03/2022
210033266,Rented,All Other Attached,5503,Adobe Falls,92120,3,2,0,1116,1 Story,1973,Exclusive Right (R),Monthly,51,2950,3250,12/13/2021,2850,02/02/2022
220000997,Rented,All Other Attached,321,10th,92101,1,1,0,671,1 Story,2007,Exclusive Right (R),Monthly,34,2850,2950,01/17/2022,2850,02/21/2022
220003226,Rented,Detached,13817,Tobiasson,92064,4,2,0,1288,1 Story,1959,Exclusive Right (R),Monthly,3,2850,2850,02/14/2022,2850,02/19/2022
210033661,Rented,Apartment,100,Park,92101,1,1,0,786,1 Story,2018,Exclusive Right (R),Monthly,0,2892,2892,12/20/2021,2892,12/20/2021
220004876,Active,All Other Attached,3857,Pell,92130,2,1,0,900,1 Story,2005,Exclusive Right (R),Monthly,13,2895,2895,03/03/2022,,
210034161,Rented,Detached,6007,Daisy,92114,3,2,0,1400,1 Story,1975,Exclusive Right (R),Monthly,4,2895,2895,01/03/2022,2895,01/07/2022
220004476,Rented,Detached,8136,Knollwood,92114,3,1,1,959,1 Story,1962,Exclusive Right (R),Monthly,10,2895,2895,02/27/2022,2895,03/10/2022
220003128,Rented,All Other Attached,836,Pennsylvania,92103,2,2,0,1025,1 Story,1973,Exclusive Right (R),Monthly,24,2895,3200,02/11/2022,2895,03/07/2022
220005927,Active,All Other Attached,7415,Charmant,92122,2,2,0,934,2 Story,1987,Exclusive Agency (A),Monthly,0,2900,2900,03/16/2022,,
220005876,Active,Apartment,1441,9th,92101,2,2,0,1004,1 Story,2008,Exclusive Right (R),Monthly,1,2900,2900,03/15/2022,,
PTP2201503,Active,All Other Attached,238,Crestview,92026,3,1,1,1208,2 Story,1972,,,8,2900,3000,03/08/2022,,
210032551,Rented,All Other Attached,235,Market,92101,2,2,0,1308,1 Story,2002,Exclusive Right (R),Monthly,22,2900,2900,12/02/2021,2900,12/29/2021
220002401,Rented,Townhome,2293,Lago Ventana,91914,3,2,1,1390,2 Story,1997,Exclusive Right (R),Monthly,7,2900,2900,02/03/2022,2900,02/10/2022
220003423,Rented,All Other Attached,1890,Chambery,91913,3,2,0,1478,1 Story,2007,Exclusive Right (R),Monthly,0,2900,2850,02/16/2022,2900,02/06/2022
220001651,Rented,Townhome,3199,Evening,92037,2,1,1,1080,3 Story,1979,Exclusive Right (R),Monthly,7,2900,2900,01/25/2022,2900,02/01/2022
210033594,Rented,Detached,533,Barbara,92075,2,1,1,650,1 Story,2010,Exclusive Agency (A),Monthly,23,2995,299500,12/18/2021,2945,01/11/2022
OC22043645,Active,Detached,3808,Vista Campana,92057,2,1,1,1432,1 Story,1970,Exclusive Right To Lease,,11,2950,2950,03/05/2022,,
210034003,Pending,All Other Attached,4482,Alabama,92116,2,2,0,1000,1 Story,1985,Exclusive Right (R),Monthly,21,2950,3250,12/30/2021,,
220002544,Rented,All Other Attached,101,Market,92101,2,2,1,1290,2 Story,2002,Exclusive Agency (A),Monthly,12,2950,2950,02/04/2022,2950,02/16/2022
210033614,Rented,Townhome,1330,Statice,92011,2,2,1,1105,2 Story,2000,Exclusive Right (R),Monthly,11,2950,2950,12/18/2021,2950,01/03/2022
220002181,Rented,All Other Attached,1633,Linwood,92103,2,1,0,930,1 Story,1939,Exclusive Right (R),Monthly,1,2950,2950,02/01/2022,2950,02/04/2022
220003231,Rented,All Other Attached,2064,Kettner,92101,1,1,0,625,1 Story,2001,Exclusive Right (R),Monthly,7,2950,2950,02/14/2022,2950,02/22/2022
210032788,Rented,Detached,10270,Rancho Carmel,92128,3,2,0,1322,1 Story,1988,Exclusive Right (R),Monthly,6,2950,2950,12/06/2021,2950,12/12/2021
210032792,Rented,All Other Attached,206,Marquette,92078,3,2,1,1458,3 Story,2004,Exclusive Right (R),Monthly,28,2950,3199,12/06/2021,2950,01/03/2022
220000115,Rented,All Other Attached,575,6th,92101,2,1,1,960,1 Story,2007,Exclusive Right (R),Monthly,3,2950,2900,01/05/2022,2950,01/08/2022
PTP2201162,Active,All Other Attached,7120,Shoreline,92122,2,2,,848,1 Story,1988,Exclusive Right To Lease,,23,2990,3500,02/21/2022,,
220003238,Active,Detached,844 B,Beryl,92109,2,1,0,900,1 Story,1949,Exclusive Right (R),Monthly,30,2995,2295,02/14/2022,,
PTP2201114,Active,All Other Attached,350,11th Ave,92101,1,1,,675,1 Story,2007,Exclusive Right To Lease,,26,2995,2995,02/18/2022,,
PTP2201115,Active,All Other Attached,500,Harbor,92101,1,1,,726,1 Story,1994,Exclusive Right To Lease,,26,2995,2995,02/18/2022,,
210032513,Rented,Townhome,12643,Elisa,92128,2,2,0,1148,2 Story,2004,Exclusive Right (R),Monthly,10,2995,3125,12/02/2021,2995,12/12/2021
ML81873248,Rented,,510,Camino De La Reina,92108,2,2,,1274,,1991,Exclusive Right To Lease,,41,2995,3575,12/31/2021,2995,02/16/2022
210032404,Rented,All Other Attached,1853 1/2,Chalcedony,92109,2,1,0,750,1 Story,1953,Exclusive Right (R),Monthly,12,2995,2995,12/01/2021,2995,12/15/2021
220001622,Rented,Detached,4616,Cherokee,92116,2,1,0,1050,1 Story,1939,Exclusive Agency (A),Monthly,6,2995,2950,01/25/2022,2995,01/31/2022
220005188,Active,Detached,6357,Streamview,92115,2,1,0,824,1 Story,1954,Exclusive Right (R),Monthly,9,2999,2999,03/07/2022,,
NDP2201371,Active,All Other Attached,501,Ditmar,92054,2,1,1,1000,2 Story,1970,Exclusive Right To Lease,,29,2999,2999,02/15/2022,,
220003826,Active,Apartment,1927,Balboa,92014,1,1,0,475,1 Story,1951,Exclusive Right (R),Monthly,25,3000,3000,02/19/2022,,
NDP2201626,Active,All Other Attached,8994,Capcano Rd,92126,3,2,1,1380,2 Story,1977,Exclusive Right To Lease,,20,3000,3000,02/23/2022,,
PTP2201535,Active,All Other Attached,889,Date St,92101,2,2,0,904,1 Story,2007,,,7,3000,3300,03/09/2022,,
220004463,Active,All Other Attached,1380,Grove,91932,2,1,0,700,1 Story,1959,Exclusive Right (R),Monthly,17,3000,3000,02/27/2022,,
PTP2200523,Active,All Other Attached,9856,Shirley Gardens,92071,3,2,,1120,1 Story,1986,Exclusive Right To Lease,,51,3000,3000,01/24/2022,,
PTP2201588,Active,All Other Attached,1239,Aguirre,91910,3,2,,1369,2 Story,1999,Exclusive Right w/ Exception,,6,3000,3000,03/10/2022,,
NDP2201842,Active,Detached,3639,La Canada,92028,2,2,,1152,1 Story,2021,Exclusive Right To Lease,,15,3000,3000,03/01/2022,,
220005545,Active,All Other Attached,510,Camino De La Reina,92108,2,2,0,1274,1 Story,1991,Exclusive Right (R),Monthly,6,3000,3000,03/10/2022,,
NDP2201851,Active,Detached,2010,San Marcos,92078,2,2,0,1344,1 Story,1989,Exclusive Right To Lease,,15,3000,3500,03/01/2022,,
220005152,Active,Townhome,1305,Keck,91913,4,2,1,1743,2 Story,2017,Exclusive Right (R),Monthly,9,3000,3000,03/07/2022,,
PTP2201147,Active,All Other Attached,4301,Loma Riviera Ct,92110,2,1,,876,1 Story,1965,Exclusive Right To Lease,,25,3000,3000,02/19/2022,,
NDP2200906,Pending,Detached,2505,Navarra Dr.,92009,2,2,1,1524,2 Story,1974,Exclusive Right To Lease,,4,3000,3000,01/31/2022,,
ML81872728,Rented,,4224,46th,92115,3,2,,974,,2000,Exclusive Right To Lease,,13,3000,3000,12/17/2021,3000,01/15/2022
210033003,Rented,Townhome,8682,Villa La Jolla,92037,1,1,0,1016,2 Story,1981,Exclusive Right (R),Monthly,10,3000,3000,12/09/2021,3000,01/06/2022
220000038,Rented,Townhome,7865,Via Belfiore,92129,2,2,1,1450,2 Story,2003,Exclusive Agency (A),Monthly,6,3000,3000,01/04/2022,3000,01/12/2022
210032939,Rented,All Other Attached,575,6th,92101,2,1,1,960,1 Story,2007,Exclusive Right (R),Monthly,27,3000,3000,12/08/2021,3000,01/04/2022
210033608,Rented,All Other Attached,1480,Broadway,92101,3,2,0,1290,2 Story,2004,Exclusive Right (R),Monthly,3,3000,2900,12/18/2021,3000,12/21/2021
220004553,Rented,All Other Attached,801,Ash,92101,2,2,0,1221,1 Story,2006,Exclusive Right (R),Monthly,4,3000,3000,02/28/2022,3000,03/05/2022
220000404,Rented,All Other Attached,1702,Torrance,92103,2,1,1,1014,2 Story,1978,Exclusive Right (R),Monthly,8,3000,3000,01/08/2022,3000,01/16/2022
220002424,Rented,All Other Attached,147,Diamante,92078,2,2,1,1229,2 Story,2020,Exclusive Right (R),Monthly,37,2999,3295,02/03/2022,3000,03/13/2022
220001642,Rented,All Other Attached,5210,Naranja,92114,3,2,0,1950,1 Story,2020,Exclusive Right (R),Monthly,17,3000000,3000000,01/25/2022,3000,02/11/2022
220001231,Rented,All Other Attached,10167,Caminito Volar,92126,3,1,1,1264,1 Story,1975,Exclusive Right (R),Monthly,20,3000,3000,01/20/2022,3000,02/10/2022
220001250,Rented,Detached,5143,Conrad,92117,3,1,0,1234,1 Story,1959,Exclusive Agency (A),Monthly,8,3000,3000,01/20/2022,3000,01/28/2022
220001009,Rented,Townhome,8211,Station Village,92108,2,2,0,1274,Other/Remarks,2005,Exclusive Right (R),Monthly,38,3000,3000,01/17/2022,3000,02/24/2022
220000667,Rented,All Other Attached,7210,Calle Cristobal,92126,3,2,0,1114,2 Story,1991,Exclusive Right (R),Monthly,26,3000,3200,01/12/2022,3000,02/07/2020
220001171,Rented,Townhome,13959,Midland,92064,3,2,1,1346,2 Story,1990,Exclusive Right (R),Monthly,6,3000,3000,01/19/2022,3000,01/28/2022
220003540,Rented,All Other Attached,2250,Gill Village,92108,2,2,0,1082,2 Story,2002,Exclusive Right (R),Monthly,20,3000,3000,02/17/2022,3000,03/15/2022
220002636,Rented,Townhome,3840,Elijah,92130,2,2,0,953,3 Story,2002,Exclusive Agency (A),Monthly,9,3000,3000,02/06/2022,3000,02/17/2022
210032992,Rented,All Other Attached,12370,Carmel Country,92130,2,2,0,1131,1 Story,2003,Exclusive Right (R),Monthly,8,2980,2980000,12/09/2021,3030,12/17/2021
220005817,Active,Detached,3911,Santa Cruz,92107,2,1,0,850,1 Story,1950,Exclusive Right (R),Monthly,2,3050,3050,03/14/2022,,
210033607,Rented,All Other Attached,8158,Avenida Navidad,92122,2,2,0,1179,1 Story,1985,Exclusive Right (R),Monthly,70,3050,3150,12/18/2021,3050,02/27/2022
PTP2201424,Active,All Other Attached,7160,Shoreline,92122,2,2,,848,1 Story,1988,Exclusive Right To Lease,,12,3095,3095,03/04/2022,,
NDP2201744,Active,All Other Attached,501,Ditmar,92054,2,2,,1000,2 Story,1970,Exclusive Right To Lease,,19,3099,3099,02/25/2022,,
SB22051822,Active,All Other Attached,4045,30th,92104,2,2,,886,2 Story,2017,Open Listing (O),,1,3100,3100,03/15/2022,,
220002682,Active,Detached,4510,58th,92115,3,1,0,1400,1 Story,1947,Exclusive Right (R),Monthly,37,3100,3100,02/07/2022,,
220003943,Active,All Other Attached,1225,Island,92101,2,2,0,1415,2 Story,2005,Exclusive Right (R),Monthly,22,3100,3100,02/22/2022,,
220004160,Active,Townhome,2036,Coolidge,92111,3,2,0,1190,1 Story,1994,Exclusive Right (R),Monthly,20,3100,3100,02/24/2022,,
220000361,Rented,All Other Attached,182,Mangano,92024,2,2,0,1011,1 Story,1985,Exclusive Right (R),Monthly,20,3100,3100,01/07/2022,3100,01/29/2022
220001514,Rented,Detached,5226,69th,92115,2,1,0,874,1 Story,1954,Exclusive Right (R),Monthly,2,3100,3100,01/24/2022,3100,01/27/2022
210033642,Rented,Townhome,340,Millstream,92071,3,3,0,1384,3 Story,2021,Exclusive Right (R),Monthly,4,3100,3100,12/20/2021,3100,12/24/2021
210033169,Rented,All Other Attached,9237,Regents,92037,1,1,0,715,1 Story,2001,Exclusive Right (R),Monthly,8,3100,3100,12/10/2021,3100,12/21/2021
220001557,Rented,All Other Attached,330,J,92101,2,2,0,1121,1 Story,2003,Exclusive Agency (A),Monthly,15,3200,3300,01/24/2022,3100,02/08/2022
220004030,Rented,Townhome,110,Diamante,92078,2,2,1,1229,2 Story,2020,Exclusive Right (R),Monthly,7,3100,3100,02/22/2022,3100,03/09/2022
220001540,Rented,Detached,566,9th,91932,3,2,1,1608,2 Story,1992,Exclusive Right (R),Monthly,28,3100,2950,01/24/2022,3100,02/28/2022
220002981,Rented,All Other Attached,6360,Citracado,92009,2,2,0,1199,2 Story,2002,Exclusive Right (R),Monthly,0,3100,3100,02/10/2022,3100,02/10/2022
220001906,Rented,Townhome,12031,Tivoli Park,92128,2,2,0,1341,2 Story,1995,Exclusive Right (R),Monthly,5,3150,3150,01/28/2022,3150,02/03/2022
210032585,Rented,Detached,1633,Alapat,92027,2,2,0,2000,1 Story,1967,Exclusive Agency (A),Monthly,23,3150,3300,12/03/2021,3150,12/26/2021
210033210,Rented,All Other Attached,7844,Camino Huerta,92122,3,2,0,1170,1 Story,1972,Exclusive Right (R),Monthly,3,3195,3195,12/11/2021,3195,01/31/2022
NDP2202061,Active,All Other Attached,1662,Forestdale,92024,3,2,,1056,1 Story,1978,Exclusive Right To Lease,,9,3200,3200,03/07/2022,,
PTP2201484,Active,All Other Attached,504,Turnstone,91932,3,2,,1549,2 Story,2018,Exclusive Right To Lease,,9,3200,3350,03/07/2022,,
PTP2200895,Active,Detached,2013,Bridgeport,91913,3,2,1,1447,2 Story,1987,Exclusive Right To Lease,,5,3200,3200,02/09/2022,,
PTP2200219,Active,Detached,4321,Cartagena,92115,3,1,,988,1 Story,1944,Exclusive Right To Lease,,35,3200,3395,01/10/2022,,
PTP2201264,Active,All Other Attached,1225,Island,92101,1,1,0,892,1 Story,2005,Exclusive Right To Lease,,19,3200,3200,02/25/2022,,
NDP2202192,Active,All Other Attached,874,Rancho Santa Fe,92078,2,2,,942,1 Story,1986,Exclusive Right To Lease,,7,3200,3300,03/14/2022,,
NDP2201995,Active,All Other Attached,12269,Carmel Vista Rd,92130,2,2,,1101,1 Story,1985,Exclusive Right To Lease,,12,3200,3200,03/04/2022,,
220005642,Pending,Detached,4454,33rd,92116,2,1,0,850,1 Story,1927,Exclusive Right (R),Monthly,3,3200,3200,03/11/2022,,
210033449,Rented,Detached,15934,Staples,92065,3,2,0,1794,1 Story,1990,Exclusive Right (R),Monthly,41,3200,3100,12/16/2021,3200,02/01/2022
210033191,Rented,Detached,,10898 Caminito Arcada,92131,3,2,1,1216,2 Story,1998,Exclusive Agency (A),Monthly,5,3200,3200,12/11/2021,3200,12/18/2021
210032536,Rented,Detached,2163,Firethorn,92027,3,3,0,1520,2 Story,1989,Exclusive Right (R),Monthly,46,3200,3500,12/02/2021,3200,01/17/2022
210033663,Rented,Detached,13131,Carriage,92064,4,2,0,1288,1 Story,1961,Exclusive Right (R),Monthly,17,3200,3200,12/20/2021,3200,01/07/2022
220000127,Rented,All Other Attached,330,J,92101,2,2,0,1121,1 Story,2003,Exclusive Right (R),Monthly,3,3200,3200,01/05/2022,3200,01/08/2022
210032738,Rented,Detached,15622,Royal Crown,92128,2,2,0,1292,1 Story,1989,Exclusive Right (R),Monthly,35,3200,3200,12/05/2021,3200,01/09/2022
210032380,Rented,Detached,1104,Santa Rufina,92075,1,1,0,500,1 Story,2017,Exclusive Right (R),Monthly,0,3200,3200,12/01/2021,3200,12/01/2021
220002509,Rented,Townhome,6121,Caminito Del Oeste,92111,2,2,1,1356,2 Story,1956,Exclusive Right (R),Monthly,4,3200,3200,02/04/2022,3200,02/08/2022
ML81875243,Rented,,4545,Arizona,92116,2,2,,1140,,1997,Exclusive Right To Lease,,5,3200,3200,01/21/2022,3200,02/12/2022
220001448,Rented,All Other Attached,800,The Mark,92101,1,1,0,878,1 Story,2007,Exclusive Right (R),Monthly,10,3800,3800,01/22/2022,3200,02/01/2022
220001267,Rented,All Other Attached,950,6th,92101,0,1,0,1435,1 Story,1929,Exclusive Right (R),Monthly,12,3350,3350,01/20/2022,3200,02/01/2022
220001258,Rented,Townhome,700,E,92101,2,2,0,1125,3 Story,2008,Exclusive Right (R),Monthly,5,3200,3200,01/20/2022,3200,01/26/2022
220002758,Rented,Detached,1104,Santa Rufina,92075,1,1,0,500,1 Story,2017,Exclusive Right (R),Monthly,18,3500,3500,02/08/2022,3200,02/26/2022
220004468,Rented,Twinhome,519,Tewa,92014,1,1,0,600,1 Story,1951,Exclusive Agency (A),Monthly,0,3100,3100,02/27/2022,3200,03/02/2022
220005793,Active,Townhome,3617,4th,92103,2,2,0,1140,3 Story,2000,Exclusive Agency (A),Monthly,2,3250,3250,03/14/2022,,
NDP2200455,Active,All Other Attached,501,Ditmar,92054,2,1,1,1000,2 Story,1970,Exclusive Right To Lease,,60,3250,3250,01/15/2022,,
PTP2200241,Pending,All Other Attached,10147,Star Magnolia,92071,4,3,1,1869,3 Story,2010,Exclusive Right To Lease,,58,3250,3250,01/11/2022,,
220004031,Rented,Twinhome,223,Plymouth,92083,3,2,0,1206,1 Story,1970,Exclusive Right (R),Monthly,6,3250,3450,02/23/2022,3250,03/09/2022
220000656,Rented,Townhome,18712,Caminito Pasadero,92128,2,2,1,1417,2 Story,1996,Exclusive Right (R),Monthly,16,3250,3300,01/12/2022,3250,01/21/2022
210033863,Rented,All Other Attached,1643,6th,92101,2,2,0,1106,1 Story,2004,Exclusive Right (R),Monthly,44,3250,3250,12/27/2021,3250,02/10/2022
220001593,Rented,All Other Attached,18543,Caminito Pasadero,92128,3,2,0,1225,1 Story,1993,Exclusive Agency (A),Monthly,14,3250,3250,01/25/2022,3250,02/08/2022
210032902,Rented,Detached,1833,Crenshaw,92105,3,1,0,1182,1 Story,1953,Exclusive Right (R),Monthly,6,3250,3250,12/08/2021,3250,12/15/2021
210032556,Rented,Townhome,10832,Scripps Ranch,92131,3,2,0,1444,1 Story,2002,Exclusive Right (R),Monthly,7,3350,3350,12/02/2021,3250,12/09/2021
220001247,Rented,Detached,12864,Circulo Dardo,92128,2,2,0,1286,1 Story,1979,Exclusive Agency (A),Monthly,4,3260,3260,01/20/2022,3260,01/25/2022
210033323,Rented,All Other Attached,3555,Caminito El Rincon,92130,2,2,0,944,1 Story,1995,Exclusive Agency (A),Monthly,10,3275,3275,12/14/2021,3275,12/25/2021
220000982,Rented,Detached,11912,Via Granero,92019,3,2,1,1596,2 Story,1985,Exclusive Right (R),Monthly,12,3290,3290,01/16/2022,3290,01/28/2022
220005761,Active,Detached,1266,9th,92065,3,2,0,1801,1 Story,1977,Exclusive Right (R),Monthly,2,3295,3295,03/14/2022,,
220004572,Active,All Other Attached,4035,Carmel View,92130,2,2,0,1071,1 Story,1987,Exclusive Agency (A),Monthly,10,3295,3600,03/06/2022,,
220005549,Active,All Other Attached,4850,Bella Pacific,92109,2,2,0,1094,1 Story,1987,Exclusive Agency (A),Monthly,5,3300,3300,03/11/2022,,
210033502,Active,All Other Attached,9253,Regents,92037,1,1,0,764,4 Story,2000,Exclusive Right (R),Monthly,84,3300,3300,12/16/2021,,
NDP2202147,Active,All Other Attached,16810,Blue Crane,92127,2,2,0,977,2 Story,2002,Exclusive Right To Lease,,7,3300,3300,03/09/2022,,
NDP2202304,Active,All Other Attached,9237,Regents Road,92037,2,2,,1063,1 Story,2001,Exclusive Right To Lease,,3,3300,3300,03/13/2022,,
CV22051279,Pending,Detached,550,Moonlight,92069,3,2,1,1781,2 Story,2016,Exclusive Right To Lease,,1,3300,3300,03/14/2022,,
220000636,Rented,All Other Attached,450,J,92101,2,2,0,993,1 Story,2004,Exclusive Agency (A),Monthly,34,3300,3650,01/12/2022,3300,02/18/2022
210033198,Rented,Detached,61,Shasta,91910,3,2,0,1310,1 Story,1958,Exclusive Right (R),Monthly,13,3300,3300,12/11/2021,3300,12/24/2021
210032462,Rented,Detached,14574,Kennebunk,92064,3,1,0,958,1 Story,1961,Exclusive Right (R),Monthly,3,3300,3300,12/01/2021,3300,12/04/2021
NDP2200532,Active,Detached,4524,Royal Oak,92056,2,1,,834,1 Story,1979,Exclusive Right To Lease,,57,3350,3350,01/18/2022,,
220001552,Active,All Other Attached,1612,Camino Rociar,92078,3,2,0,1204,1 Story,1990,Open Listing (O),Monthly,51,3350,3500,01/24/2022,,
210032744,Rented,All Other Attached,8808,Promenade North,92123,3,2,0,1416,Other/Remarks,2007,Exclusive Agency (A),Monthly,26,3500,3500,12/05/2021,3350,01/03/2022
210032749,Rented,Detached,10842,Whitehall,92126,3,2,0,1177,1 Story,1972,Exclusive Agency (A),Monthly,26,3380,3380,12/05/2021,3380,01/01/2022
220000461,Rented,Detached,11577,Madera Rosa,92124,2,2,1,1395,2 Story,1984,Exclusive Right (R),Monthly,9,3395,3395,01/10/2022,3395,01/20/2022
220001257,Rented,Townhome,11423,Madera Rosa,92124,3,3,0,1398,2 Story,1984,Exclusive Agency (A),Monthly,22,3395,3700,01/20/2022,3395,02/11/2022
220005131,Active,All Other Attached,11252,Provencal,92128,3,2,0,1322,3 Story,1991,Exclusive Right (R),Monthly,10,3400,3400,03/06/2022,,
220002836,Active,Detached,16551,Sambroso,92128,3,2,0,1510,1 Story,1964,Exclusive Right (R),Monthly,35,3400,3400,02/09/2022,,
220004255,Active,Townhome,402,Lincoln,92026,3,2,0,1600,2 Story,2008,Exclusive Right (R),Monthly,20,3400,3400,02/24/2022,,
IV22047463,Active,Detached,338,Dun Blazer,92028,4,2,1,2156,2 Story,2018,Exclusive Right To Lease,,7,3400,3400,03/09/2022,,
NDP2201659,Pending,All Other Attached,1301,Evergreen,92007,2,1,,922,1 Story,1974,Exclusive Right To Lease,,13,3400,3400,02/24/2022,,
NDP2201176,Pending,All Other Attached,1394,Hygeia,92024,2,2,1,1300,2 Story,1978,Exclusive Right To Lease,,6,3400,3450,02/09/2022,,
220003571,Pending,Detached,1419,Timber Gln,92027,3,2,1,1360,2 Story,1989,Exclusive Agency (A),Monthly,20,3400,3400,02/17/2022,,
NDP2113657,Pending,All Other Attached,941,Lauralwood,92011,3,2,1,1438,2 Story,1986,Exclusive Right To Lease,,2,3400,3400,12/29/2021,,
210032925,Rented,Townhome,3950,Ohio,92104,3,2,0,1134,2 Story,2006,Exclusive Agency (A),Monthly,11,3400,3200,12/08/2021,3400,12/21/2021
220000006,Rented,Detached,3340,Orange,92104,2,2,0,1190,1 Story,1923,Exclusive Right (R),Monthly,8,3400,3400,01/04/2022,3400,01/20/2022
220000037,Rented,All Other Attached,1470,Caminito Sardinia,91915,4,3,1,1810,3 Story,2005,Exclusive Agency (A),Monthly,7,3400,3400,01/04/2022,3400,02/01/2022
220000762,Rented,Detached,1058,Sea Glass,92154,4,2,1,1772,2 Story,2017,Exclusive Right (R),Monthly,34,3400,3400,01/13/2022,3400,02/16/2022
220002751,Rented,Detached,1115,E 7th,91950,3,2,0,1124,1 Story,1945,Exclusive Right (R),Monthly,17,3500,3250,02/08/2022,3400,02/25/2022
220000269,Rented,All Other Attached,5206,Alta Vista,92109,1,1,0,995,1 Story,1983,Exclusive Agency (A),Monthly,6,3400,3200,01/06/2022,3400,01/12/2022
210034023,Rented,Detached,10183,10183 Clauser,92126,3,2,0,1134,1 Story,1989,Exclusive Agency (A),Monthly,2,3400,3400,12/31/2021,3400,01/02/2022
220000855,Rented,Townhome,7659,Hazard Center,92108,3,2,1,1345,2 Story,1998,Exclusive Right (R),Monthly,10,3400,3400,01/14/2022,3400,01/25/2022
NDP2201956,Active,All Other Attached,12613,El Camino Real,92130,2,2,1,1351,2 Story,1998,Exclusive Right To Lease,,13,3450,3450,03/03/2022,,
ML81879991,Pending,,12058,Caminito Campana,92128,3,2,,1434,,1974,Exclusive Right To Lease,,7,3450,3450,02/26/2022,,03/12/2022
220000945,Rented,Detached,10833,Caminito Colorado,92131,4,2,1,1809,2 Story,1997,Exclusive Right (R),Monthly,17,3450,3500,01/15/2022,3450,02/01/2022
220000414,Rented,Townhome,13057,Evening Creek,92128,3,2,1,1447,3 Story,2005,Exclusive Right (R),Monthly,10,3450,3450,01/08/2022,3450,01/18/2022
220000719,Rented,Townhome,9097,Fitzgerald,91977,3,2,0,1100,1 Story,1987,Exclusive Right (R),Monthly,21,3400,3400,01/13/2022,3450,02/03/2022
220005010,Active,Apartment,635,Robinson,92103,1,1,0,772,Other/Remarks,2021,Exclusive Right (R),Monthly,12,3454,3454,03/04/2022,,
PTP2201238,Active,All Other Attached,1403,Caminito Lucca,91915,3,2,,1296,1 Story,2006,Exclusive Right To Lease,,20,3485,3985,02/24/2022,,
PTP2201485,Active,All Other Attached,1403,Caminito Lucca,91915,3,2,,1296,2 Story,2006,Exclusive Right To Lease,,9,3485,3485,03/07/2022,,
PTP2201625,Active,All Other Attached,350,11th,92101,2,2,,1003,1 Story,2007,Exclusive Right To Lease,,4,3490,3490,03/12/2022,,
PTP2201688,Active,All Other Attached,2177,Diamondback,91915,3,2,1,1585,1 Story,2006,Exclusive Right To Lease,,1,3495,3495,03/15/2022,,
ML81873247,Active,,706,37th,92113,3,1,,1200,,1944,Exclusive Right To Lease,,75,3500,3750,12/31/2021,,
220003888,Active,Townhome,17571,Caminito Caldo,92127,2,2,0,1118,1 Story,1978,Exclusive Right (R),Monthly,23,3500,3500,02/21/2022,,
PTP2201262,Active,Detached,7976,Tinaja,92139,3,2,1,1327,2 Story,1986,Exclusive Right To Lease,,19,3500,3500,02/25/2022,,
220005443,Active,Townhome,1130,Florida,91932,3,2,0,1250,1 Story,1960,Exclusive Right (R),Monthly,6,3500,3900,03/10/2022,,
